"","x","y","dbh","crown","height","fruiting"
"1",0,2,21.4,1.98268780998915,3.42275972273333,0
"2",0,7,20.2,1.90859222309227,3.28914753397876,0
"3",0,9,30,2.47788572745443,4.32120206482135,0
"4",0,10,17.6,1.74268786402329,2.99085012089141,0
"5",0,24,182,8.14382367681959,14.9913300904882,0
"6",0,29,48,3.37909547460502,5.97650604307774,0
"7",0,32,14.4,1.52651294259072,2.60412021420598,0
"8",0,35,18,1.76872819714215,3.03758848436408,0
"9",0,37,23.7,2.12087539832164,3.67254620070902,0
"10",0,40,33,2.63876336742777,4.61493435396522,0
"11",0,47,47,3.3324668067184,5.89031378906892,0
"12",0,48,25.4,2.22009469476505,3.85235386902356,0
"13",0,49,18,1.76872819714215,3.03758848436408,0
"14",0,51,15.7,1.6161252536979,2.76415039766528,0
"15",0,52,43,3.14246483654365,5.53967317744154,0
"16",0,55,51,3.51704206189776,6.23181182112112,0
"17",0,59,113,5.94583726729528,10.7898407579348,0
"18",0,60,40,2.99599331736387,5.27002048312909,0
"19",0,61,18.5,1.80100362433549,3.09556125160459,0
"20",0,70,26.2,2.26600100591915,3.93567112232112,0
"21",0,71,110,5.8411776963357,10.5913632191093,0
"22",0,72,18.1,1.77520742397473,3.04922257094621,0
"23",0,73,22.7,2.06138120415594,3.56491148207367,0
"24",0,75,13,1.42686819816098,2.42667615266314,0
"25",0,77,17.3,1.72302537802052,2.95558000854906,0
"26",0,78,17.5,1.73614645616723,2.97911427680774,0
"27",0,85,18.5,1.80100362433549,3.09556125160459,0
"28",0,90,15.1,1.57509238285705,2.69082220461615,0
"29",0,91,192,8.43645621720927,15.5549549263174,0
"30",0,94,155,7.32487414059795,13.4189885066894,0
"31",1,2,95,5.30247739240221,9.57238586569455,0
"32",1,7,23.7,2.12087539832164,3.67254620070902,0
"33",1,9,42,3.09403895783276,5.45045702285764,0
"34",1,10,118,6.11819579036859,11.1170483432545,0
"35",1,12,20.3,1.9148229809417,3.30037413841035,0
"36",1,16,12.9,1.41961459232839,2.41378069351724,0
"37",1,22,34,2.69127037813634,4.71098110052402,0
"38",1,28,18.5,1.80100362433549,3.09556125160459,0
"39",1,31,42,3.09403895783276,5.45045702285764,0
"40",1,34,30,2.47788572745443,4.32120206482135,0
