,x,y,dbh,canopy_radius,height,fruiting_jan,fruiting_feb,fruiting_mar,fruiting_apr,fruiting_may,fruiting_jun,fruiting_jul,fruiting_aug,fruiting_sep,fruiting_oct,fruiting_nov,fruiting_dec,genus,species
1,24,7,17,1.775,12,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
2,17,7,10.7,1.4625,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
3,20,13,10.2,1.5875,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
4,21,16,11.2,1.4875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
5,14,16,11.4,1.4875,9,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
6,20,20,7.1,1.0875,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
7,14,23,7,0.95,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
8,14,16,7.8,0.8625,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
9,14,14,6.6,0.6875,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
10,12,14,7.2,1.425,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
11,5,16,16.1,1.75,12,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
12,2,20,6.8,0.81,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
13,7,10,7.7,1.4625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
14,5,9,6.7,1.6125,3,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
15,3,8,7.7,1.2875,4,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
16,2,8,9.2,1.9,4,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
17,5,7,12,2.525,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Calophyllum,cf. lanigerum
18,1,2,10.3,1.1625,10,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
19,9,1,8.4,0.7625,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
20,9,1,7.8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
21,40,23,6.3,1.375,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Syzygium,sp. 6 cf. campanulatum
22,40,22,9.7,0.825,11,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
23,46,17,12.1,1.75,11,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
24,50,25,6.6,0.4875,3,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
25,49,14,7.2,1.025,6,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
