"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"1",45,40,52.3,3.825,18,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"2",3,40,13.8,1.8,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"3",2,41,13,3.75,13,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"4",2,43,6.7,1.2,6,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"5",1,43,6.8,1.075,5,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","umbellata","untouched"
"6",0,46,10.8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"7",0,52,12,2.2,11,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"8",1,53,13,2.775,15,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. elliptica","untouched"
"9",1,56,7.5,1.55,8.5,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"10",1,59,10.3,2.15,10.5,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"11",5,58,8.7,1.075,5,0,0,0,0,0,0,0,0,0,0,0,0,"Myristica","lowiana","untouched"
"12",5,59,10.6,2.9,11.5,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"13",6,57,6.1,1.325,7,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"14",7,56,7.6,1.075,9,0,0,0,0,0,0,0,0,0,0,0,0,"Dipterocarpus","borneensis","untouched"
"15",9,58,6,0.7,7.5,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"16",9,57,14.1,2.4,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"17",7,54,6.9,2.35,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"18",6,52,18.6,4.625,15.5,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"19",5,54,11.7,1.7,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"20",4,53,6.3,1.75,5.5,0,0,0,0,0,0,0,0,0,0,0,1,"Garcinia","sp. 4 parvifolia","untouched"
"21",2,44,46.3,6.175,29.5062094259639,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","sclerophyllum","untouched"
"22",3,46,19.9,3.475,16.5,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum","untouched"
"23",4,44,18,2.875,16,0,0,0,0,0,0,0,0,0,0,0,0,"Tristaniopsis","sp. 4","untouched"
"24",5,46,10.8,2.125,11,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"25",4,45,10.3,1.825,11.5,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia","untouched"
"26",6,41,41.3,4.925,29.4593184723454,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"27",1,50,10.8,1.975,12,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"28",8,44,9.3,1.525,8,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"29",9,43,33.2,3.075,27.0440878410714,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"30",13,41,9.6,3.5,9.5,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"31",14,41,10.6,2.55,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","cf. malayana","untouched"
"32",20,43,30.3,4.75,21.0924053026726,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"33",20,44,34.6,6.025,26.6079081449839,0,0,0,1,0,0,1,1,1,1,1,0,"Palaquium","leiocarpum","untouched"
"34",17,47,32.7,5.325,27.2368490405924,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"35",18,48,15.7,1.95,17.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"36",18,50,11,1.775,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)","untouched"
"37",18,51,10.6,2.525,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"38",16,50,16.3,2.425,14,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"39",14,50,8.5,3.025,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"40",14,52,12.9,2.425,15.5,1,0,0,0,0,0,0,0,0,0,1,1,"Sandoricum","beccanarium","untouched"
"41",16,52,9.6,1.9,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"42",13,52,8.5,1.55,10,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"43",14,55,7.7,0.8,9.5,0,0,0,0,0,0,0,0,0,0,0,0,"Dactylocladus","stenostachys","untouched"
"44",13,57,13.8,3.85,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"45",15,55,8.8,0.425,11.5,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"46",14,53,18.4,2.125,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"47",16,53,8.7,1.3,10.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"48",19,53,11.7,2.25,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"49",18,58,44.7,5.325,30.375925385559,1,0,0,0,0,0,0,0,0,0,1,1,"Koompassia","malaccensis","untouched"
"50",15,58,30.6,3.2,27.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"51",16,58,9.3,1.075,13.5,0,0,0,0,0,0,0,0,0,0,0,0,"Ilex","hypoglauca","untouched"
"52",13,59,17.6,3.825,15,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"53",20,40,15.2,2.1,13,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"54",21,41,8.6,1.3125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"55",20,42,6.3,1.5125,14,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"56",21,42,31,4.95,25.2158964926248,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"57",22,42,13,1.0625,16,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"58",22,41,11,2.05,15,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"59",26,44,24.5,3.4,28.1736009145702,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"60",22,43,15,2.95,14,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","soulattri","untouched"
"61",21,47,11.7,1.375,6.5,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"62",21,44,21.8,1.925,19.6840441796844,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"63",23,45,14,1.85,20.7608638365046,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","cf. hosei (cf. fragrans)","untouched"
"64",23,43,27.5,2.375,22.0035002130533,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","coriaceum","untouched"
"65",24,46,9.3,2.35,12,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","sp. 1 cf. dasystachys","untouched"
"66",24,49,11.3,1.8375,12,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","soulattri","untouched"
"67",26,50,8.5,1.2875,8,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"68",25,52,9.9,1.3,17,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)","untouched"
"69",25,53,10.3,1.775,11,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1","untouched"
"70",25,54,6.4,1.9,11,0,0,0,0,0,0,0,0,0,0,1,0,"Santiria","sp. 1","untouched"
"71",22,55,36.3,2.45,21.485735056158,0,0,0,0,0,0,0,0,0,0,0,0,"Dactylocladus","stenostachys","untouched"
"72",21,55,15.7,3.05,17,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"73",20,54,15.6,1.275,21.3821820247789,0,0,0,0,0,0,0,0,0,0,0,0,"Vatica","mangachapoi","untouched"
"74",20,56,6.3,0,4.5,1,0,0,0,0,0,0,0,0,0,0,1,"Garcinia","sp. 3","untouched"
"75",27,58,8.4,1.6375,16,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"76",29,57,6.1,1.2125,16,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","sp. 1 cf. dasystachys","untouched"
"77",29,54,9.1,1.85,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"78",35,56,15.7,2.75,13,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"79",37,58,13.5,1.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Myristica","lowiana","untouched"
"80",31,57,8.2,1.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"81",37,55,23.4,3.7,17,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
