"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"1",50,20,15.7,3.2,15,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"2",0,20,13.8,2.415,15,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"3",0,21,11,2.25,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"4",5,22,13.3,2.05,16,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"5",5,24,13.4,1.825,15,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"6",3,31,10.7,3.4,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"7",1,31,14.9,2.125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"8",0,33,13.5,2.65,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"9",2,33,26.3,3.225,17,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","squamatum","untouched"
"10",2,34,10.5,1.975,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"11",3,35,7,2.05,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"12",10,37,10.5,1.85,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"13",10,39,20.6,3,25.246519562317,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"14",3,36,8.5,1.6,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"15",2,37,22.4,2.075,25.5,0,0,0,0,0,0,0,0,0,0,0,0,"Dactylocladus","stenostachys","untouched"
"16",1,34,9.2,1.25,9,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","coriifolia","untouched"
"17",1,39,8.4,0.65,6,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"18",13,39,34.5,2.525,26.8079015565825,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"19",14,38,10,2.05,13,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"20",13,37,9.1,1.775,15,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"21",13,36,14.7,1.275,17,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"22",14,35,11.8,2.025,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"23",15,35,12.1,2.8,18,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"24",18,36,18.5,3.45,20.4627599809399,0,0,0,0,0,0,0,1,0,0,0,0,"Neoscortechinia","kingii","untouched"
"25",13,35,26.3,2.7,36.8730153561092,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"26",20,34,25.2,4.475,22.7283714327067,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"27",17,29,34,4.65,26.0251467654205,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"28",45,32,22.2,3.675,22.8782984763482,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"29",16,35,8.6,0.95,10,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"30",15,37,9.2,1.175,17,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","cf. evena","untouched"
"31",16,37,13.5,2.725,17,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"32",17,33,9.2,1.35,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"33",18,32,7.1,3.05,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"34",19,34,7.1,1.775,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"35",18,34,6.5,1.3,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"36",18,30,14.7,3.5,16,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"37",16,32,10.5,1.525,15.5,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"38",15,32,7.6,0.85,7.5,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1","untouched"
"39",11,31,19,1.325,17,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"40",11,30,16.6,3.9,15,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"41",8,28,13,2.475,18,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"42",7,31,10.2,1.55,16,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"43",4,26,10.7,1.95,13,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"44",6,22,27,3.175,17,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"45",5,21,30,3.875,18,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"46",3,20,8.6,1.4,9,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"47",4,20,8.1,1.975,10,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"48",12,20,8.7,0.775,15,0,0,0,0,0,0,0,0,0,0,0,0,"Sandoricum","beccanarium","untouched"
"49",14,22,8.4,1.725,13,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. elliptica","untouched"
"50",14,21,16.9,2.275,22.4,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"51",15,24,8.2,1.7,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"52",18,23,21,2.95,22.8319244640857,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
