evolution$generation,bodyWeight,energyIntake,energyGain,initialSatiation,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,energyAvg,frequencyOfMoveAvg,budgetAvg,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
900,44.0,10.0,250.0,-393.0,1.0,0.5,0.5,1.5,0.5,0.5,515.0,27.394117647058827,67.92453703703704,1,"[2500.0]","[0.0]","[0.0]","[1165.6110767979062]","[0.5787037037037037]","[75.29411764705883]","[0.19675925925925924]","[0.0]","[99.22453703703704]","[24.705882352941178]","[1919.8010000005638]"
900,42.0,2.0,287.0,-213.0,1.0,0.5,0.5,0.5,1.5,0.5,81699.11340640936,21.41567711807872,5.6236111111111065,1,"[41902.0]","[20.289716954159918]","[20.289716954159918]","[82468.11340640936]","[50.557870370370374]","[26.48432288192128]","[12.518518518518517]","[20.289716954159918]","[36.92361111111111]","[12.64652625559897]","[41607.438666666414]"
900,42.0,10.0,201.0,-445.0,1.0,0.5,0.5,1.5,0.5,0.5,8554.866331173882,3.6828677839851025,61.225462962962965,1,"[10251.0]","[8.789571694599628]","[8.789571694599628]","[9323.866331173882]","[2.5902777777777777]","[51.5828677839851]","[4.884259259259259]","[8.789571694599628]","[92.52546296296296]","[22.048417132216013]","[9613.055999999746]"
900,45.0,4.0,399.0,-399.0,1.0,0.5,1.5,1.5,1.5,0.5,1538.7,6.049517933734905,67.68497685185189,100,"[1197.0,1197.0,1197.0,3591.0,1197.0,1596.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,2793.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1596.0,1197.0,2793.0,1197.0,1197.0,1197.0,1197.0,3192.0,1596.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1596.0,1197.0,1197.0,1596.0,1596.0,1596.0,3591.0,1197.0,2793.0,1995.0,1197.0,1197.0,1197.0,1197.0,1197.0,1596.0,7182.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,3192.0,1197.0,1197.0,1197.0,1596.0,1197.0,1197.0,1995.0,1197.0,1197.0,1197.0,1197.0,1197.0,2394.0,1197.0,1197.0,1197.0,1596.0,1197.0,1197.0,1197.0,1197.0,1197.0,1596.0,1197.0,1995.0,1197.0,1197.0,1197.0,1596.0,1197.0,1197.0]","[17.647058823529413,27.27272727272727,6.896551724137931,6.488549618320611,3.8461538461538463,27.86259541984733,0.0,15.384615384615385,22.727272727272727,12.5,8.333333333333332,8.0,8.0,6.896551724137931,1.8181818181818181,6.896551724137931,3.7037037037037033,2.631578947368421,0.0,2.857142857142857,20.0,1.4285714285714286,5.88235294117647,2.0689655172413794,5.0,3.571428571428571,7.142857142857142,30.337078651685395,2.1212121212121215,0.0,3.3333333333333335,2.380952380952381,28.000000000000004,23.076923076923077,4.0,25.925925925925924,0.0,4.545454545454546,2.5974025974025974,21.428571428571427,20.0,27.358490566037734,18.13186813186813,16.5,0.8849557522123894,11.76470588235294,15.053763440860216,19.9468085106383,13.333333333333334,4.166666666666666,6.25,6.25,10.0,0.0,4.568106312292359,14.285714285714285,6.666666666666667,12.844036697247708,5.88235294117647,1.8518518518518516,30.344827586206897,22.47191011235955,8.695652173913043,7.6923076923076925,3.571428571428571,14.285714285714285,25.423728813559322,15.789473684210526,0.9225092250922509,5.555555555555555,22.413793103448278,7.142857142857142,2.8846153846153846,10.0,0.0,22.289156626506024,28.92561983471074,9.523809523809524,21.428571428571427,32.58426966292135,0.0,2.0689655172413794,15.384615384615385,17.142857142857142,18.181818181818183,1.1764705882352942,6.0606060606060606,11.11111111111111,12.5,26.923076923076923,6.0606060606060606,3.4482758620689653,4.545454545454546,22.413793103448278,0.0,15.789473684210526,21.62162162162162,2.0689655172413794,17.80821917808219,30.357142857142854]","[17.647058823529413,27.27272727272727,6.896551724137931,6.488549618320611,3.8461538461538463,27.86259541984733,0.0,15.384615384615385,22.727272727272727,12.5,8.333333333333332,8.0,8.0,6.896551724137931,1.8181818181818181,6.896551724137931,3.7037037037037033,2.631578947368421,0.0,2.857142857142857,20.0,1.4285714285714286,5.88235294117647,2.0689655172413794,5.0,3.571428571428571,7.142857142857142,30.337078651685395,2.1212121212121215,0.0,3.3333333333333335,2.380952380952381,28.000000000000004,23.076923076923077,4.0,25.925925925925924,0.0,4.545454545454546,2.5974025974025974,21.428571428571427,20.0,27.358490566037734,18.13186813186813,16.5,0.8849557522123894,11.76470588235294,15.053763440860216,19.9468085106383,13.333333333333334,4.166666666666666,6.25,6.25,10.0,0.0,4.568106312292359,14.285714285714285,6.666666666666667,12.844036697247708,5.88235294117647,1.8518518518518516,30.344827586206897,22.47191011235955,8.695652173913043,7.6923076923076925,3.571428571428571,14.285714285714285,25.423728813559322,15.789473684210526,0.9225092250922509,5.555555555555555,22.413793103448278,7.142857142857142,2.8846153846153846,10.0,0.0,22.289156626506024,28.92561983471074,9.523809523809524,21.428571428571427,32.58426966292135,0.0,2.0689655172413794,15.384615384615385,17.142857142857142,18.181818181818183,1.1764705882352942,6.0606060606060606,11.11111111111111,12.5,26.923076923076923,6.0606060606060606,3.4482758620689653,4.545454545454546,22.413793103448278,0.0,15.789473684210526,21.62162162162162,2.0689655172413794,17.80821917808219,30.357142857142854]","[16.414213562373096,685.8670990922614,287.5510696599784,4020.0519542177176,290.774893337371,2715.288925282754,982.4360847165865,209.4142135623731,421.1145615210179,481.93276074732887,269.8096934260636,362.73096212263414,265.7314095474774,273.3816910873504,1497.3583174710436,268.103033969797,198.5373104630689,689.2539614405861,671.9674775249773,880.9901064704109,752.5532625245704,849.7345818109853,293.406441178561,2927.642860215621,517.6568542494924,507.6447034586869,258.8149729521891,829.806132548161,1382.1959343632527,1634.2159609302132,668.4255343158393,627.7513154965516,910.8584034678181,5.242640687119286,326.66234534195274,869.7947713280088,724.7633821746986,294.49747468305833,725.5962166801759,6.242640687119286,6.82842712474619,2022.0129259863106,1682.6730945325028,1785.7797717817627,2664.9690681348184,218.0,2205.645482342682,2295.3574649933785,216.35848547237225,586.7871376374771,455.7871376374784,622.9506074100899,255.78713763747828,1386.7097522338106,7212.822601620154,16.414213562373096,688.9906831399543,670.485291572496,455.07237507856945,744.9213963984862,1237.6267363179948,686.505144749464,258.75770038595545,542.3637096380169,786.154005848509,238.3794967847247,1194.1800022290165,10.82842712474619,2921.553732018449,452.79590464972176,502.7980989523489,287.20135119985144,645.3902905241484,337.6398154255881,647.6155647622229,1704.8461328858225,877.3742253846816,354.24922359499624,5.82842712474619,621.220346110533,886.6977047931376,1168.0304018830632,211.4142135623731,536.3044736996023,206.0,1232.6839670231823,242.82842712474618,43.947331922020545,321.0,1145.2867086168856,273.3847763108502,967.0563919996039,476.45715138941983,1726.7659642449921,642.7871376374794,32.242640687119284,1419.9953107181045,694.3100620703897,725.4398099196754,350.8284271247462]","[0.6944444444444444,0.7430555555555556,0.6944444444444444,2.083333333333333,0.6944444444444444,0.9259259259259258,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.6203703703703702,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.6944444444444444,1.6643518518518519,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.8518518518518516,0.9259259259259258,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.7268518518518519,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.9259259259259258,0.9259259259259258,2.083333333333333,0.6944444444444444,1.650462962962963,1.1944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9259259259259258,4.238425925925926,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.8518518518518516,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.6944444444444444,0.6944444444444444,1.1574074074074074,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.3888888888888888,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.6944444444444444,1.1574074074074074,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.9259259259259258,0.6944444444444444,0.6944444444444444]","[23.52941176470588,13.636363636363635,58.620689655172406,69.08396946564885,34.61538461538461,15.267175572519085,85.29411764705883,0.0,27.27272727272727,43.75,50.0,64.0,60.0,51.724137931034484,78.54545454545455,55.172413793103445,66.66666666666666,73.68421052631578,80.0,80.0,35.38461538461539,84.28571428571429,67.64705882352942,86.89655172413792,72.5,75.0,50.0,0.0,78.78787878787878,100.0,86.66666666666667,90.47619047619048,12.0,0.0,57.99999999999999,14.814814814814813,76.47058823529412,63.63636363636363,81.81818181818183,0.0,0.0,16.037735849056602,36.26373626373626,38.0,84.7345132743363,0.0,53.2258064516129,32.97872340425532,26.666666666666668,79.16666666666666,68.75,75.0,55.00000000000001,87.71929824561403,75.5813953488372,0.0,53.333333333333336,33.94495412844037,70.58823529411765,88.88888888888889,3.4482758620689653,25.842696629213485,43.47826086956522,53.84615384615385,75.0,28.57142857142857,22.033898305084744,0.0,86.16236162361623,55.55555555555556,20.689655172413794,64.28571428571429,77.88461538461539,55.00000000000001,38.46153846153847,30.72289156626506,9.917355371900827,61.904761904761905,0.0,0.0,83.87096774193549,75.86206896551724,0.0,40.0,0.0,94.11764705882352,15.151515151515152,44.44444444444444,31.25,14.285714285714285,57.57575757575758,82.75862068965517,77.27272727272727,29.310344827586203,55.55555555555556,36.84210526315789,33.78378378378378,57.24137931034483,41.0958904109589,0.0]","[0.02546296296296296,0.04166666666666667,0.057870370370370364,0.5277777777777778,0.1111111111111111,0.1574074074074074,0.0787037037037037,0.020833333333333336,0.05555555555555555,0.027777777777777776,0.0462962962962963,0.04861111111111111,0.04861111111111111,0.057870370370370364,0.6134259259259259,0.057870370370370364,0.1736111111111111,0.08333333333333334,0.0462962962962963,0.0763888888888889,0.08796296296296297,0.1574074074074074,0.06944444444444445,0.32175925925925924,0.08333333333333334,0.06018518518518519,0.05555555555555555,0.08101851851851852,0.7314814814814815,0.14814814814814814,0.06481481481481481,0.0925925925925926,0.03935185185185185,0.016203703703703703,0.10648148148148148,0.08564814814814815,0.0787037037037037,0.0925925925925926,0.16898148148148148,0.018518518518518517,0.020833333333333336,0.2222222222222222,0.2222222222222222,0.2638888888888889,1.027777777777778,0.030092592592592594,0.2685185185185185,0.44675925925925924,0.02546296296296296,0.05092592592592592,0.032407407407407406,0.032407407407407406,0.037037037037037035,0.13194444444444445,2.458333333333333,0.034722222222222224,0.030092592592592594,0.1875,0.06944444444444445,0.12037037037037038,0.0787037037037037,0.07407407407407407,0.04398148148148148,0.02546296296296296,0.06018518518518519,0.02314814814814815,0.13194444444444445,0.030092592592592594,1.2314814814814814,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.22685185185185186,0.037037037037037035,0.030092592592592594,0.21296296296296297,0.06944444444444445,0.03935185185185185,0.018518518518518517,0.03935185185185185,0.07175925925925926,0.32175925925925924,0.020833333333333336,0.10416666666666667,0.016203703703703703,0.19212962962962965,0.06712962962962962,0.04861111111111111,0.027777777777777776,0.19444444444444445,0.06712962962962962,0.125,0.0925925925925926,0.2962962962962963,0.020833333333333336,0.030092592592592594,0.0625,0.32175925925925924,0.10648148148148148,0.05092592592592592]","[17.647058823529413,27.27272727272727,6.896551724137931,6.488549618320611,3.8461538461538463,27.86259541984733,0.0,15.384615384615385,22.727272727272727,12.5,8.333333333333332,8.0,8.0,6.896551724137931,1.8181818181818181,6.896551724137931,3.7037037037037033,2.631578947368421,0.0,2.857142857142857,20.0,1.4285714285714286,5.88235294117647,2.0689655172413794,5.0,3.571428571428571,7.142857142857142,30.337078651685395,2.1212121212121215,0.0,3.3333333333333335,2.380952380952381,28.000000000000004,23.076923076923077,4.0,25.925925925925924,0.0,4.545454545454546,2.5974025974025974,21.428571428571427,20.0,27.358490566037734,18.13186813186813,16.5,0.8849557522123894,11.76470588235294,15.053763440860216,19.9468085106383,13.333333333333334,4.166666666666666,6.25,6.25,10.0,0.0,4.568106312292359,14.285714285714285,6.666666666666667,12.844036697247708,5.88235294117647,1.8518518518518516,30.344827586206897,22.47191011235955,8.695652173913043,7.6923076923076925,3.571428571428571,14.285714285714285,25.423728813559322,15.789473684210526,0.9225092250922509,5.555555555555555,22.413793103448278,7.142857142857142,2.8846153846153846,10.0,0.0,22.289156626506024,28.92561983471074,9.523809523809524,21.428571428571427,32.58426966292135,0.0,2.0689655172413794,15.384615384615385,17.142857142857142,18.181818181818183,1.1764705882352942,6.0606060606060606,11.11111111111111,12.5,26.923076923076923,6.0606060606060606,3.4482758620689653,4.545454545454546,22.413793103448278,0.0,15.789473684210526,21.62162162162162,2.0689655172413794,17.80821917808219,30.357142857142854]","[99.2800925925926,99.21527777777777,99.24768518518519,97.38888888888889,99.19444444444444,98.91666666666666,99.22685185185185,99.28472222222223,99.25,99.27777777777777,99.25925925925925,99.25694444444444,99.25694444444444,99.24768518518519,97.7662037037037,99.24768518518519,99.13194444444444,99.22222222222223,99.25925925925925,99.22916666666667,99.2175925925926,98.91666666666666,99.23611111111111,98.01388888888889,99.22222222222223,99.24537037037037,99.25,99.22453703703704,97.41666666666666,98.92592592592592,99.24074074074073,99.21296296296296,99.20370370370371,99.28935185185185,99.19907407407408,99.1875,99.22685185185185,99.21296296296296,98.9050925925926,99.28703703703704,99.28472222222223,98.85185185185185,98.85185185185185,98.81018518518519,96.88888888888889,99.27546296296296,98.08101851851852,98.32175925925925,99.2800925925926,99.25462962962963,99.27314814814815,99.27314814814815,99.26851851851852,98.94212962962963,93.30324074074075,99.27083333333333,99.27546296296296,99.11805555555556,99.23611111111111,99.18518518518519,99.22685185185185,99.23148148148148,99.26157407407408,99.2800925925926,99.24537037037037,99.2824074074074,99.17361111111111,99.27546296296296,96.91666666666666,99.26851851851852,99.23148148148148,99.25,98.84722222222221,99.26851851851852,99.27546296296296,98.62962962962963,99.1875,99.26620370370371,99.28703703703704,99.26620370370371,99.23379629629629,98.28935185185185,99.28472222222223,99.20138888888889,99.28935185185185,98.88194444444444,99.23842592592592,99.25694444444444,99.27777777777777,99.11111111111111,99.23842592592592,98.94907407407408,99.21296296296296,98.5462962962963,99.28472222222223,99.27546296296296,99.20833333333333,98.75231481481481,99.19907407407408,99.25462962962963]","[23.52941176470588,4.545454545454546,20.689655172413794,11.450381679389313,53.84615384615385,1.1450381679389312,14.705882352941178,53.84615384615385,4.545454545454546,18.75,25.0,12.0,16.0,27.586206896551722,16.0,24.137931034482758,22.22222222222222,18.421052631578945,20.0,11.428571428571429,4.615384615384616,11.428571428571429,14.705882352941178,6.896551724137931,12.5,14.285714285714285,28.57142857142857,8.98876404494382,14.84848484848485,0.0,3.3333333333333335,2.380952380952381,4.0,30.76923076923077,30.0,7.4074074074074066,23.52941176470588,22.727272727272727,10.38961038961039,35.714285714285715,40.0,1.8867924528301887,9.340659340659341,12.5,12.610619469026549,64.70588235294117,1.6129032258064515,7.180851063829788,33.33333333333333,8.333333333333332,12.5,6.25,15.0,12.280701754385964,10.714285714285714,57.14285714285714,26.666666666666668,27.522935779816514,11.76470588235294,5.555555555555555,5.517241379310345,6.741573033707865,30.434782608695656,23.076923076923077,14.285714285714285,28.57142857142857,1.694915254237288,52.63157894736842,11.07011070110701,27.77777777777778,12.068965517241379,14.285714285714285,13.461538461538462,15.0,61.53846153846154,2.4096385542168677,3.3057851239669422,9.523809523809524,35.714285714285715,2.247191011235955,16.129032258064516,17.93103448275862,53.84615384615385,8.571428571428571,45.45454545454545,2.3529411764705883,66.66666666666666,22.22222222222222,31.25,4.945054945054945,24.242424242424242,6.896551724137931,9.090909090909092,3.4482758620689653,44.44444444444444,15.789473684210526,1.3513513513513513,36.55172413793103,5.47945205479452,8.928571428571429]","[602.457999999773,661.3273333331063,595.0993333331064,3134.1963333331123,630.8819999997729,1000.3709999997743,752.3289999997731,548.8199999997731,630.4483333331066,591.6646666664398,640.8916666664397,581.9946666664398,620.6703333331064,573.1636666664398,2354.4176666664453,661.9343333331063,710.8813333331063,753.0883333331064,607.5379999997731,790.429999999773,642.8136666664398,922.8043333331063,685.6873333331064,3603.7013333331124,761.583999999773,795.7216666664398,615.1226666664397,575.9559999997731,2554.608666666447,1147.6409999997725,699.978999999773,661.7673333331064,662.6903333331064,563.9319999997731,716.9136666664398,784.8149999997732,581.0949999997731,687.2449999997732,932.250999999773,545.2256666664398,549.7549999997731,987.8099999997729,862.7709999997736,836.6779999997727,3029.7736666664464,550.2723333331064,2284.782333333108,1288.3706666664398,552.6206666664398,710.8186666664396,669.7369999997732,603.7309999997731,587.3026666664398,1186.2749999997723,6752.00066666647,555.6289999997731,590.3446666664397,754.8923333331064,713.8213333331063,754.9993333331064,617.3883333331065,678.8493333331065,581.1636666664398,586.7233333331064,670.8929999997731,594.356999999773,621.2733333331063,548.6229999997731,2599.9973333331027,561.1556666664397,622.5006666664398,638.0786666664397,900.2876666664397,640.9756666664397,560.9449999997731,1327.2266666664361,642.9299999997733,693.714999999773,547.9876666664397,567.1149999997731,718.795999999773,1892.2913333331044,557.6456666664398,780.3693333331063,555.9443333331064,985.2163333331068,601.2093333331064,645.7696666664397,582.4263333331064,794.9406666664395,622.8566666664398,1002.8486666664401,765.0179999997731,1419.208999999773,590.4319999997731,584.6329999997731,713.3533333331063,1188.937333333106,644.0713333331064,562.1306666664398]"
900,42.0,2.0,304.0,-481.0,1.0,0.5,0.5,1.5,0.5,0.5,18772.371245431794,17.243699336772288,48.054166666666674,1,"[12768.0]","[3.2792925571112748]","[3.2792925571112748]","[19541.371245431794]","[14.819444444444443]","[65.14369933677229]","[5.826388888888888]","[3.2792925571112748]","[79.35416666666667]","[25.018422991893885]","[12106.733666666585]"
900,42.0,2.0,284.0,-157.0,1.0,0.5,0.5,0.5,1.5,0.5,57053.8204784814,7.698628298792308,20.54722222222222,1,"[30388.0]","[8.155658267481735]","[8.155658267481735]","[57822.8204784814]","[36.0625]","[55.598628298792306]","[12.090277777777777]","[8.155658267481735]","[51.84722222222222]","[19.93439689876249]","[30018.26000000005]"
900,42.0,2.0,206.0,-352.0,1.0,0.5,0.5,0.5,1.5,0.5,47104.78107725149,5.057163850110212,26.39444444444445,1,"[25750.0]","[10.257163850110212]","[10.257163850110212]","[47873.78107725149]","[30.59722222222222]","[49.140337986774426]","[11.708333333333334]","[10.257163850110212]","[57.69444444444445]","[20.08817046289493]","[25322.602999999857]"
900,45.0,3.0,229.0,-399.0,1.0,0.5,1.5,1.5,0.5,0.5,34221.3968482786,7.982558139534884,33.801851851851865,1,"[29312.0]","[11.075581395348836]","[11.075581395348836]","[34990.3968482786]","[22.97685185185185]","[55.75581395348838]","[11.921296296296296]","[11.075581395348836]","[65.10185185185186]","[11.017441860465116]","[28818.379999999408]"
900,44.0,3.0,228.0,-440.0,1.0,0.5,0.5,1.5,0.5,0.5,46065.895837109,7.523634651600754,30.04490740740741,1,"[31236.0]","[12.723634651600754]","[12.723634651600754]","[46834.895837109]","[24.939814814814813]","[42.478813559322035]","[13.715277777777779]","[12.723634651600754]","[61.34490740740741]","[19.350282485875706]","[30671.717666667406]"
900,44.0,2.0,201.0,-340.0,1.0,0.5,0.5,0.5,1.5,0.5,38747.43679642503,22.10346562325321,33.10972222222222,1,"[22110.0]","[20.10899944102851]","[20.10899944102851]","[39516.43679642503]","[27.104166666666668]","[25.796534376746788]","[8.48611111111111]","[20.10899944102851]","[64.40972222222221]","[13.876467300167691]","[21681.74500000058]"
