output,energyIntake,energyGain,initialSatiation,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,probMoveNoFeed,walkSpeed
totalEnergyIntake,3416.0,2966.0,1972.0,3014.0,1594.0,2398.0000000000005,0.0,0.0,1572.0000000000002,0.0
energyExpenditure,15729.609900000192,20072.069500000198,16304.242500000131,20589.57629999927,15259.896400000254,15806.835200000287,0.0,0.0,11811.935900000035,0.0
walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arborealMove,33.648064585635424,24.249976040702094,22.93315400254174,29.45460174294486,30.55770718588876,25.687638934943536,0.0,0.0,26.23438993332872,0.0
climbs,32.593730345506046,25.476166516892576,22.806785099115732,29.415663596716346,28.95425891002669,26.497162744467342,0.0,0.0,26.81772326666205,0.0
sway,64.6232263649204,50.071094463532354,59.31928136808799,57.388781059096964,54.54757051932298,58.062005184808775,0.0,0.0,47.275426042741,0.0
climb,23.59439328655234,17.906025051512373,18.6639758304562,23.22099837017018,22.255940811905067,21.3249793263056,0.0,0.0,18.009926044663437,0.0
brachiation,43.897778268766416,36.57318190423735,42.63044174760623,41.3356761493466,35.31098515927448,51.95172176893906,0.0,0.0,31.909287579979708,0.0
descent,20.45346870091997,17.313821487897098,16.495770705989106,22.412104629530923,18.21702352899073,19.11361967159392,0.0,0.0,14.436006387962191,0.0
travelDistance,17298.371875589728,22390.44668536396,17951.203502400916,19468.472925148948,16998.08461704362,17113.411815941086,0.0,0.0,13393.400965959938,0.0
feedingBudget,76.89467592592592,48.017824074074085,39.133564814814825,64.47337962962965,28.827083333333345,49.63055555555556,0.0,0.0,28.438194444444466,0.0
travellingBudget,63.498148148148154,54.41342592592592,41.91319444444444,60.111574074074085,33.454861111111086,44.78726851851854,0.0,0.0,55.46504629629631,0.0
restingBudget,26.52569444444443,13.523379629629629,16.12731481481482,32.785879629629626,9.981018518518528,20.065509259259258,0.0,0.0,37.85787037037037,0.0
