output,energyIntake,energyGain,initialSatiation,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,probMoveNoFeed,walkSpeed
totalEnergyIntake,4259.926759933791,3628.872552184769,3582.7118220699804,4055.524133820437,3150.2704645791923,5556.103310774559,0.0,0.0,3350.7587200513262,0.0
energyExpenditure,32401.55015541187,35811.8988675029,37073.55693803319,39841.69210534521,27112.443926685224,31304.349521015785,0.0,0.0,29585.666277516924,0.0
walk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arborealMove,51.602002725659766,35.86160748841171,37.574092015131086,52.20131628930214,51.11757582010636,46.73384707971166,0.0,0.0,46.63305463327342,0.0
climbs,51.60200272565978,35.861607488411714,37.57409201513111,52.20131628930215,51.117575820106374,46.73384707971166,0.0,0.0,46.63305463327342,0.0
sway,98.18625566601636,71.308744480994,92.58303277204713,96.09452837227532,94.71674525785183,106.54827553153187,0.0,0.0,82.7167092818628,0.0
climb,34.51258893922439,24.433707480907685,30.563466209613917,37.03982408288554,34.76871995234763,32.99536647258487,0.0,0.0,29.591161531561195,0.0
brachiation,75.82917858833726,58.161576256416524,72.75526589026408,77.90608860584261,69.93050623053249,99.09091635774078,0.0,0.0,58.79569967561669,0.0
descent,29.5237138132204,25.137317612225846,28.104328316580446,34.548838176018585,28.839248130430153,31.94835730242875,0.0,0.0,24.419840350896585,0.0
travelDistance,35965.52991147064,39763.19604000437,41309.892248899276,44539.845316143736,30267.101886822125,34594.78854147069,0.0,0.0,33645.915729366134,0.0
feedingBudget,88.96988626029024,65.53407196420383,65.49018621170777,82.97618652203137,51.72257004155884,115.67272045128665,0.0,0.0,55.59054180917938,0.0
travellingBudget,85.77530936731928,82.3785813464393,76.3026817417791,97.90241353884913,60.91210638951446,88.18455953250135,0.0,0.0,83.93274587724034,0.0
restingBudget,41.83598942664265,26.48680876206234,25.890213751170077,46.74089134274892,19.975516564102755,50.22674485422914,0.0,0.0,48.02770985730548,0.0
