evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
100,830,6.887828339897624,264.479594699654,0.20000309223030893,0.4592883368504038,0.9075254858950077,0.2489462546593824,1.9008458170457847,0.1893367871600059,3,0.9545454545454546,2,"[264.479594699654,264.479594699654]","[13.563218390804597,17.786561264822133]","[0.0,0.0]","[24.78393167941821,28.28723512607388]","[0.08796296296296297,0.08796296296296297]","[0.0,0.0]","[0.0798611111111111,0.10416666666666667]","[16.333333333333332,15.192307692307693]","[99.83217592592592,99.80787037037038]","[67.95061728395062,65.14423076923077]","[159.2374842706023,163.9684842706023]"
100,830,3.9760247707444507,284.7734970677011,5.509356112750146,0.847322032295749,1.8451774110218158,0.30840050394345353,1.1837067933835506,0.6154406766259455,11,0.8181818181818182,4,"[2990.1217192108616,3132.508467744712,3132.508467744712,2990.1217192108616]","[10.380747126436782,12.757919209532112,10.611735330836453,12.301957129543336]","[0.0,0.0,0.0,0.0]","[89.7924655116474,133.59583499454578,111.37569732518486,82.73193324139771]","[1.7708333333333333,1.917824074074074,1.8333333333333333,1.8333333333333333]","[0.0,0.0,0.0,0.0]","[0.15856481481481483,0.3530092592592593,0.20833333333333331,0.1701388888888889]","[13.348164627363737,15.75682382133995,13.873626373626372,14.515377446411929]","[98.07060185185185,97.66898148148148,97.95486111111111,97.97222222222223]","[75.43103448275862,71.53038259564892,73.05183037332367,70.56277056277057]","[2880.882934119066,3000.147934119066,2926.6859341190657,2871.3629341190663]"
100,830,5.421231725920939,454.9333329832536,1.9435808062232285,0.8490108034254236,1.244883095323483,0.10842513607090161,0.5043067244600289,0.7512389315529615,7,0.8181818181818182,4,"[1364.7999989497607,1364.7999989497607,1364.7999989497607,1364.7999989497607]","[12.857142857142858,11.11111111111111,10.555555555555555,13.283208020050125]","[0.0,0.0,0.0,0.0]","[61.20636258279844,56.9735110123878,32.930969326847766,54.46411393619897]","[0.5844907407407407,0.5833333333333334,0.5833333333333334,0.5833333333333334]","[0.0,0.0,0.0,0.0]","[0.1423611111111111,0.12962962962962965,0.07870370370370369,0.13541666666666669]","[14.920634920634921,11.354166666666668,10.68840579710145,9.6875]","[99.27314814814815,99.2824074074074,99.33796296296296,99.28125]","[72.55639097744361,74.16666666666666,74.16666666666666,73.21428571428572]","[1104.2842869866784,1078.9142869866782,1018.5762869866784,1069.3092869866782]"
100,830,8.811389181490428,359.0456444167206,7.650062396271288,0.25133767780242544,1.1079604435239236,1.138008020180458,1.8622068084252796,0.8207766207073807,3,0.8181818181818182,2,"[3231.410799750486,3231.410799750486]","[12.740546285251423,12.97464740336737]","[0.12083860031621226,0.24213655758605185]","[11869.779512977342,12090.105571735377]","[0.8541666666666666,0.8541666666666666]","[0.7435123442814977,0.7093012320135428]","[33.298611111111114,34.113425925925924]","[13.550133660749974,13.616103292320245]","[65.84722222222223,65.03240740740742]","[72.1438936450372,72.42771429174383]","[36486.27995021119,37055.19445021122]"
100,830,2.031204365093989,151.01010242449985,9.556814464194407,0.9865342029682406,1.721618407759216,0.17854057219624747,1.053070955733371,0.26933303422466637,6,0.6818181818181818,2,"[2718.1818436409976,3548.737406975748]","[12.623810924781798,12.978973081712809]","[0.44476071873332146,0.534763181411975]","[486.7361388676896,704.351743077136]","[3.0925925925925926,4.02662037037037]","[0.16129032258064516,0.13333333333333333]","[68.95023148148148,65.33217592592592]","[13.439186384391864,13.494739681683301]","[27.443287037037038,30.46412037037037]","[72.65395894428153,72.55244755244755]","[6006.049942816767,6548.622942816766]"
100,830,5.578414788470652,348.87531683459855,0.8614641279162759,0.8266342817852003,1.8198533250081466,0.2866520648848653,1.1632371385411413,0.8123929111866625,3,0.9090909090909091,9,"[697.7506336691971,697.7506336691971,697.7506336691971,697.7506336691971,697.7506336691971,697.7506336691971,697.7506336691971,697.7506336691971,697.7506336691971]","[14.835164835164836,10.96096096096096,12.698412698412698,12.142857142857142,13.18840579710145,12.912087912087912,12.348178137651821,14.119601328903654,12.962962962962962]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[56.93131893377205,29.61262965785561,42.4629546990825,41.048601648482304,41.17275715899473,28.70601855593989,48.40853065278684,54.883600281918405,32.794100900520995]","[0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667]","[1.7241379310344827,2.5,0.0,4.058441558441558,4.096989966555184,0.0,1.6666666666666667,4.083333333333333,0.0]","[0.10069444444444445,0.05439814814814815,0.07523148148148148,0.0763888888888889,0.07754629629629631,0.05324074074074074,0.08912037037037038,0.10069444444444445,0.05439814814814815]","[16.24493927125506,15.608108108108109,10.317460317460316,15.707236842105264,14.35897435897436,14.835164835164836,15.587044534412955,13.79492600422833,12.169312169312168]","[99.60763888888889,99.65393518518519,99.63310185185185,99.63194444444444,99.63078703703704,99.6550925925926,99.61921296296296,99.60763888888889,99.65393518518519]","[67.42424242424241,62.37373737373737,66.66666666666666,69.375,63.12217194570135,62.142857142857146,66.66666666666666,67.51054852320675,67.5]","[566.2797813997208,488.39778139972077,536.0592813997208,521.5202813997208,535.2257813997207,485.86428139972077,537.6692813997208,563.6577813997208,498.18178139972076]"
100,830,6.8878283398976246,314.13008618060616,0.3487919455751023,0.5822772966142743,1.0813493972970898,0.2489462546593824,1.9008458170457851,0.20117962478249446,3,0.9090909090909091,1,"[314.13008618060616]","[12.5]","[0.0]","[37.73331296157747]","[0.10648148148148148]","[0.0]","[0.10416666666666666]","[14.314516129032258]","[99.78935185185185]","[72.32597623089983]","[258.8676338759732]"
100,830,3.8083190795813002,434.3434628378786,4.888123339922456,1.3614202687257322,1.5533360717651226,0.4504824321229671,1.2713885906504032,0.5725230742457671,1,0.8181818181818182,4,"[2606.0607770272713,2606.0607770272713,2606.0607770272713,2606.0607770272713]","[12.701612903225806,14.119601328903654,10.620300751879698,11.323763955342901]","[0.0,0.0,0.0,0.0]","[85.95665121711582,82.1155451595856,76.08357141048558,67.79903708715612]","[1.7164351851851851,1.7199074074074074,1.5833333333333335,1.715277777777778]","[0.0,0.0,0.0,0.0]","[0.21180555555555555,0.1875,0.15625,0.21296296296296297]","[12.701612903225806,12.124542124542124,13.284313725490197,15.428983417447728]","[97.99421296296296,97.97916666666667,98.25925925925925,97.81828703703704]","[74.27626137303557,73.25396825396825,75.0,70.05833905284832]","[2573.948203163817,2563.242703163817,2556.8147031638173,2530.4097031638175]"
100,830,8.975159446319655,271.2072801371669,6.015210806346834,0.13729540498071077,1.4570989160367047,0.9021775237424606,1.8500098463695802,0.34407404974213085,6,0.7272727272727273,2,"[3932.50556198892,4068.1092020575034]","[12.853566958698373,11.909248698239525]","[0.0,0.0]","[414.0696787095669,388.33656440556786]","[1.042824074074074,1.0416666666666665]","[0.0,0.0]","[1.1111111111111112,0.8634259259259258]","[13.64611747590471,13.153153153153154]","[97.70601851851852,98.05902777777777]","[72.9214402618658,73.30852969546645]","[4048.0486870464047,3947.5291870464052]"
100,830,4.465632188261836,332.64731257709127,7.9473526399411405,0.1228721513147733,1.5703665365184096,0.4915367260408844,1.1624039913899906,0.5792711380090804,4,0.7272727272727273,2,"[3991.7677509250952,3991.7677509250952]","[13.194974566269469,13.04798294431985]","[0.17621910037168836,0.10074702755314643]","[8276.230575772643,9200.25196868094]","[2.055555555555556,2.055555555555556]","[0.6815781114998793,0.6568794819154553]","[19.677083333333332,21.072916666666668]","[14.128020376629083,14.04492636961142]","[78.26736111111111,76.87152777777777]","[71.5477103583987,71.76503809535907]","[26896.419267174708,29672.346767174677]"
100,830,6.837247756818691,360.28074663796684,7.716516651646211,1.1324815318129255,1.3711419215580747,1.4185706055796132,1.8921523296782914,0.8533127655896683,10,0.8484848484848485,3,"[4143.228586336619,3963.088213017635,4143.228586336619]","[11.0,13.958736299161831,18.181818181818183]","[0.0,0.0,0.0]","[95.44334521337164,79.31218281005293,124.58276003976334]","[1.4733796296296295,1.40625,1.415509259259259]","[0.0,0.0,0.0]","[0.2650462962962963,0.19675925925925924,0.3726851851851852]","[14.462025316455696,16.325757575757578,15.344950213371266]","[98.16203703703704,98.40856481481481,98.1412037037037]","[74.20967741935485,71.09848484848484,68.30143540669856]","[3952.493992787794,3922.8559927877936,4069.7234927877935]"
