evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
550,4236,5.198952755051571,222.67893218571075,4.902501713013443,0.47662390202895233,1.2508339053838349,0.8885104933475207,1.528487508170089,0.9890429088782009,7,0.7454545454545454,5,"[3451.5234488785172,3785.5418471570833,3785.5418471570833,2783.486652321384,3785.5418471570833]","[12.832940853700357,12.962029569892472,11.695402298850574,12.810595405532114,12.428255019171687]","[0.0,0.3875968992248062,0.898989898989899,0.0,0.9203622207176709]","[362.8025302912225,445.1662735166204,457.6301501979305,298.08845237706265,480.5226866068149]","[1.556712962962963,1.6979166666666665,1.695601851851852,1.244212962962963,1.6967592592592593]","[0.0,0.2222222222222222,0.0,0.0,0.0]","[1.1666666666666665,1.1701388888888888,1.1342592592592593,8.104166666666666,1.2060185185185186]","[12.337662337662337,12.500762986022096,13.117380703587601,11.55165840640488,13.154803852478274]","[97.13425925925925,97.13194444444444,97.16666666666666,90.50115740740742,97.09953703703704]","[73.76085697741749,72.52032520325203,74.00766283524905,75.57158276911,73.94291754756871]","[3376.215322246726,3629.327822246727,3647.255822246726,3166.5713222467266,3717.584822246727]"
550,4236,6.550327163295748,233.85407109912012,1.5011640353203317,0.5343333628502793,0.8438924111108709,0.2947959953539777,0.9196623551397567,0.1624267616796179,12,0.8282828282828283,9,"[935.4162843964805,935.4162843964805,935.4162843964805,935.4162843964805,935.4162843964805,935.4162843964805,935.4162843964805,935.4162843964805,935.4162843964805]","[8.391608391608392,12.5,7.333333333333334,12.535612535612534,12.132352941176471,13.270440251572328,18.181818181818183,11.929824561403509,10.263157894736842]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.93061456735761,33.21035326282416,38.06043718919295,59.41104569415502,47.60678116860531,37.26924552313942,30.00471604424821,39.77772270590931,43.543789487356065]","[0.33449074074074076,0.33333333333333337,0.33449074074074076,0.33333333333333337,0.33449074074074076,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.13425925925925924,0.14004629629629628,0.12615740740740738,0.26041666666666663,0.15625,0.11689814814814814,0.13541666666666669,0.16203703703703703,0.1527777777777778]","[14.835164835164836,13.025210084033613,12.25,14.550264550264549,15.34154535274356,12.222222222222221,15.633423180592992,11.25,12.955465587044534]","[99.53125,99.52662037037037,99.53935185185185,99.36458333333334,99.50694444444444,99.54976851851852,99.53125,99.50462962962963,99.51388888888889]","[70.97902097902099,71.42857142857143,76.18181818181819,71.91987906273621,71.71428571428572,72.51572327044025,65.47619047619048,76.66666666666666,77.93522267206478]","[799.2922369530565,814.5007369530566,820.0842369530567,893.4042369530566,855.9277369530566,815.3577369530567,798.5687369530566,825.9522369530566,821.8387369530566]"
550,4236,9.914846580696357,358.04020086022354,1.95478069004051,0.2762759006559649,1.5123277145541942,0.24590184883068367,1.9313705730958488,0.9405614519598291,10,0.8030303030303029,6,"[1074.1206025806705,1074.1206025806705,1074.1206025806705,1074.1206025806705,1074.1206025806705,1074.1206025806705]","[14.583333333333332,7.142857142857142,16.496598639455783,12.382978723404255,15.476190476190474,12.807377049180328]","[0.0,0.0,0.0,0.0,0.0,0.0]","[20.125129489322795,17.04749292233339,24.51786356290555,15.01570100080269,21.333009441597348,30.08012788925525]","[0.25,0.25,0.25,0.25,0.25,0.25]","[0.0,0.0,0.0,0.0,0.0,0.0]","[0.059027777777777776,0.048611111111111105,0.05555555555555555,0.04861111111111111,0.04861111111111111,0.06712962962962962]","[6.25,7.142857142857142,14.495798319327731,11.217391304347826,16.666666666666664,13.70023419203747]","[99.68981481481481,99.70138888888889,99.6886574074074,99.69791666666666,99.70023148148148,99.68171296296296]","[75.0,72.61904761904762,67.11229946524064,75.82608695652173,66.66666666666666,72.59953161592506]","[988.3077312199323,986.0682312199324,1007.3122312199323,982.0142312199323,989.6222312199324,1016.7917312199323]"
550,4236,4.684716235775175,484.26365833120457,0.6221302047353342,0.6690711214040767,1.118745687208686,1.0443770952463722,1.8329234237418157,0.4539043116971021,4,0.9242424242424242,6,"[484.26365833120457,484.26365833120457,484.26365833120457,484.26365833120457,484.26365833120457,484.26365833120457]","[13.80952380952381,12.5,11.805555555555555,11.437908496732025,3.571428571428571,11.011904761904763]","[0.0,0.0,0.0,0.0,0.0,0.0]","[25.095630188525107,15.308603948177755,22.50668530362147,17.214716927590366,20.719568704980595,20.74226758139112]","[0.2384259259259259,0.2384259259259259,0.2384259259259259,0.2384259259259259,0.2384259259259259,0.2384259259259259]","[0.0,0.0,0.0,0.0,0.0,0.0]","[0.061342592592592594,0.07407407407407407,0.05787037037037037,0.047453703703703706,0.04861111111111111,0.06365740740740741]","[14.642857142857142,17.894736842105264,18.333333333333332,11.437908496732025,15.384615384615385,19.642857142857142]","[99.70023148148148,99.6875,99.7037037037037,99.71412037037038,99.71296296296296,99.69791666666667]","[69.70430107526882,62.5,54.6875,66.66666666666666,65.38461538461539,66.77631578947368]","[366.29049827285013,338.7084982728501,336.27049827285015,345.6054982728501,354.9399982728501,353.68649827285014]"
550,4236,7.0509856192959255,332.4918876188349,3.821469020733434,1.179333911448355,1.837642478044632,0.9853770319633381,1.7317144318296613,0.29109078804723415,4,0.7272727272727273,7,"[2327.443213331844,2327.443213331844,2327.443213331844,2327.443213331844,2327.443213331844,2327.443213331844,2327.443213331844]","[14.71953578336557,14.7240990990991,13.594470046082948,13.425925925925926,13.394886363636363,13.24561403508772,13.680926916221033]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[123.38670250703058,123.71517580049154,120.41155092916173,129.79937427777378,135.86817928914292,108.08154495307278,122.54687595434339]","[0.7615740740740741,0.7615740740740741,0.7615740740740741,0.7615740740740741,0.7615740740740741,0.7615740740740741,0.7615740740740741]","[2.150786308973173,1.8894830659536541,2.1315192743764175,2.0220588235294117,1.7711598746081503,2.1527777777777777,2.1739130434782608]","[0.22453703703703703,0.20254629629629628,0.22569444444444442,0.22916666666666666,0.22569444444444442,0.21064814814814814,0.21643518518518517]","[12.316652286453838,16.04597701149425,14.142857142857142,14.351851851851851,15.558978873239436,14.415584415584416,14.751552795031056]","[99.01388888888889,99.03587962962963,99.0127314814815,99.00925925925927,99.0127314814815,99.02777777777779,99.02199074074073]","[71.93513898788311,70.41666666666667,69.37129690585911,70.8994708994709,68.41755319148936,69.7138047138047,69.56521739130434]","[2183.0626299511014,2174.1956299511016,2162.1071299511013,2200.381629951102,2200.516129951102,2132.7651299511017,2157.6326299511015]"
550,4236,4.988505229063218,88.68469518289511,12.022648955564248,0.21962458983757838,1.150810680895677,0.6487920743177068,1.4471966124744378,0.94082468143205,9,0.7272727272727273,2,"[1330.2704277434273,2084.0903367980363]","[14.233954451345756,14.17087819526844]","[0.0,0.2890173410404624]","[439.8963013908202,638.6771863130128]","[0.6319444444444444,0.9826388888888888]","[0.15384615384615385,0.4142224966553463]","[92.62268518518519,88.30092592592592]","[15.957428000636458,16.1121157323689]","[6.746527777777778,10.716435185185185]","[70.11519413358141,69.88951809904508]","[6986.168498675472,7561.577498675473]"
550,4236,5.3274761708785086,6.789214566681966,6.715902170782031,0.7766964888599994,1.962790566974919,0.18050006445850947,0.3949384428266568,0.5551524926546824,1,0.8181818181818182,1,"[454.87737596769136]","[14.022757697456495]","[0.0]","[429.66542920463155]","[0.16666666666666669]","[0.38220551378446116]","[99.79629629629629]","[15.657894736842106]","[0.09953703703703703]","[70.32338308457712]","[4445.979541972409]"
550,4236,2.271398000123844,6.062459699599325,12.881851797480623,1.6431992668466584,1.9633290335201528,0.2598864302675695,0.7120478628070451,0.21383088028461072,9,0.8181818181818182,1,"[93.96812534378955]","[13.760150524856407]","[0.32679738562091504]","[447.9698599247339]","[0.11226851851851852]","[0.16339869281045752]","[99.83217592592592]","[14.450646438624112]","[0.0023148148148148147]","[70.31590413943354]","[7430.021362786854]"
550,4236,3.4100927757735704,272.16623288852327,1.8306975554939313,0.3856698540326935,1.6506536234371918,0.6008427445912432,1.7397748087687497,0.927508760112324,10,0.8181818181818182,3,"[1088.664931554093,1088.664931554093,1088.664931554093]","[11.678004535147391,13.578500707213578,11.369509043927648]","[0.0,0.0,0.0]","[31.10400060089194,45.21892299388138,31.835103810913026]","[0.7407407407407408,0.7407407407407408,0.7407407407407408]","[0.0,0.0,0.0]","[0.06365740740740741,0.10532407407407407,0.07870370370370369]","[14.835164835164836,14.925742574257425,14.021887824897401]","[99.19560185185185,99.15393518518519,99.18055555555556]","[75.12820512820514,65.83333333333333,77.12418300653596]","[966.4363266366286,1000.0758266366286,966.2013266366287]"
550,4236,2.6215209585805206,237.38634248786886,13.927795007751225,0.164477018666693,1.468765439398558,0.29377205537012563,1.3747889339374124,0.23528379665680552,9,0.7727272727272727,2,"[1661.704397415082,6528.124418416394]","[13.225095252365254,13.39043765544378]","[0.0,0.6033306033306034]","[322.9013781364072,770.1891071269088]","[1.4803240740740742,5.796296296296296]","[0.0,0.5831102044285775]","[83.67361111111111,32.66087962962963]","[15.03609422492401,15.901883191602817]","[14.631944444444445,61.542824074074076]","[70.70830781792202,69.38165438165439]","[7594.186603725189,8823.199103725194]"
