evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
700,5296,4.417986117451783,355.2639554802832,5.5548968939296435,0.856575755678154,1.3487269186935427,0.34999809775901997,1.0468613826826623,0.4901726822346897,3,0.7272727272727273,3,"[3197.3755993225486,3197.3755993225486,3197.3755993225486]","[12.653910824318253,12.928744753410282,13.071871670304114]","[0.11049996962777078,0.13122779465371817,0.2109089210766956]","[5571.883690358814,5440.6487365261055,4094.613372767768]","[1.6666666666666667,1.6666666666666667,1.6666666666666667]","[0.6862865657822401,0.755766187925998,0.6133779084598756]","[12.877314814814815,12.528935185185185,9.70949074074074]","[13.669000946578075,14.104295267489713,13.97390427935508]","[85.45601851851852,85.80439814814815,88.62384259259258]","[72.7115388848533,72.15933028958591,72.07843550682621]","[18438.69950908565,17977.242509085627,13966.219509085673]"
700,5296,4.470717798549848,167.81765437480595,11.949758658721867,0.6972748869610946,1.954183395926682,0.37688936231231207,1.6890125797546058,0.44156778170212474,7,0.7272727272727273,3,"[4363.259013744954,3859.806050620536,2852.9001243717007]","[12.662058658696058,13.278110497524047,12.236191201006937]","[0.4597454816356938,0.5610197497836179,0.0]","[621.827488944622,616.5838268586922,386.93918627614255]","[2.287037037037037,2.037037037037037,1.4976851851851851]","[0.0,0.0,0.0]","[54.52430555555555,60.065972222222214,64.23263888888889]","[11.363911901394221,13.099259451734444,12.147923461126187]","[43.14351851851852,37.89699074074074,34.269675925925924]","[76.27670661803023,73.22340618599466,75.05815677241316]","[7502.161156191186,7514.757656191185,6791.475656191187]"
700,5296,4.614726538371715,179.22034787681605,1.1104494710056998,0.4136436689022981,0.8504242666497434,0.2122448194124417,0.9225553837809686,0.8495521186821927,2,0.8181818181818182,3,"[806.4915654456722,358.4406957536321,716.8813915072642]","[11.369509043927648,13.53641777370591,13.564875491480997]","[0.0,0.0,0.0]","[115.10035476423555,107.73559062405604,226.37926350683435]","[0.40625,0.18055555555555555,0.3611111111111111]","[1.4716465169833044,0.0,0.9132610508757297]","[0.3900462962962963,40.25231481481481,47.61574074074074]","[13.643410852713178,11.696306429548564,16.074203574203572]","[99.15856481481481,59.52199074074074,52.06828703703704]","[68.96923288550599,68.23507737656595,69.99848725512442]","[841.8587460824294,826.0012460824295,1164.1297460824294]"
700,5296,7.119810015972717,247.1681281449884,1.676926728482443,0.5518569145753048,1.8196673330035564,0.23539774002754865,1.5009177031401395,0.3471465729302241,7,0.8181818181818182,4,"[988.6725125799536,988.6725125799536,988.6725125799536,988.6725125799536]","[8.846153846153847,11.784897025171624,11.324786324786324,10.818713450292396]","[0.0,0.0,0.0,0.0]","[53.7016948947924,53.67865985691601,41.9867545301158,47.289198754493086]","[0.3252314814814815,0.32407407407407407,0.32407407407407407,0.32407407407407407]","[0.0,0.0,0.0,0.0]","[0.10648148148148148,0.09490740740740741,0.07060185185185186,0.10300925925925926]","[8.846153846153847,14.160401002506266,12.286324786324787,15.707236842105264]","[99.56828703703704,99.58101851851852,99.60532407407408,99.57291666666666]","[78.59649122807016,73.43358395989975,71.29120879120879,74.93734335839599]","[941.614829670959,946.597329670959,922.131829670959,935.587829670959]"
700,5296,9.609545965172986,388.5278075610012,3.049121159560815,1.4772374159183872,1.5069468651173683,1.0439835414857104,1.3331057229047703,0.17963361648340065,3,0.7272727272727273,5,"[1942.6390378050062,1942.6390378050062,1942.6390378050062,1942.6390378050062,1942.6390378050062]","[12.274220032840724,13.873626373626372,13.113747954173487,13.252508361204013,12.76923076923077]","[0.0,0.0,0.0,0.0,0.0]","[102.28440570575702,120.8234087336981,113.9920140780598,113.07403609204928,124.02539565864299]","[0.4629629629629629,0.4629629629629629,0.4629629629629629,0.4629629629629629,0.4629629629629629]","[2.353266888150609,2.3015873015873014,2.4269005847953213,2.105496453900709,2.0]","[0.21064814814814814,0.2465277777777778,0.22106481481481483,0.21990740740740738,0.2465277777777778]","[13.733500942803268,14.751552795031056,16.228070175438596,11.65158371040724,14.407407407407408]","[99.32638888888889,99.29050925925927,99.31597222222223,99.31712962962962,99.29050925925927]","[71.03257103257104,69.3064182194617,69.62719298245614,70.13513513513513,71.91549295774648]","[1742.81565658921,1784.87515658921,1771.6131565892101,1772.8856565892102,1810.33365658921]"
700,5296,6.630554029108834,143.0403801590449,0.6844959800901677,0.12777698847202568,0.5754068177516399,1.3066254988717942,1.8702324635257586,0.4728702002003049,2,0.8030303030303031,6,"[500.6413305566572,572.1615206361796,643.681710715702,500.6413305566572,572.1615206361796,643.681710715702]","[10.10204081632653,12.169885691761923,12.556306306306306,11.970149253731343,12.070217917675546,13.18840579710145]","[0.0,0.0,0.0,0.0,0.0,0.0]","[137.7964875579081,124.04296370668598,136.90345771677508,119.79990302036393,181.55768661983342,193.74734603783673]","[0.17824074074074076,0.2037037037037037,0.22916666666666669,0.17824074074074076,0.2037037037037037,0.22916666666666669]","[1.3899613899613898,1.36986301369863,1.9729206963249517,0.26041666666666663,1.2548262548262548,0.4273504273504274]","[14.495370370370372,16.61111111111111,0.7592592592592593,23.208333333333336,21.06597222222222,19.878472222222225]","[14.784011916583914,15.081416386663221,15.161725067385444,14.104166666666666,15.686274509803921,13.961038961038959]","[85.25,83.21064814814815,98.98611111111111,76.53587962962963,78.67939814814815,79.94328703703704]","[73.22102425876011,71.0477657935285,69.13989461159272,73.23383084577114,70.13513513513513,72.79220779220779]","[712.5635704435688,659.568570443569,700.1680704435689,667.1565704435689,833.3005704435689,870.8910704435687]"
700,5296,1.729156893903986,262.99053185587707,3.062137451995227,0.4848620399232876,1.4305173785071705,0.6376438285716627,1.7970848751946051,0.7458678820710186,6,0.75,4,"[1972.4289889190784,2366.914786702894,1840.9337229911398,2103.924254847017]","[13.868826859262152,13.765651986183073,12.5,12.501953430223473]","[0.0,0.0,0.0,0.0]","[184.84503229357358,255.1452102024718,153.8228942526904,211.87294722049802]","[2.638888888888889,3.166666666666667,2.462962962962963,2.821759259259259]","[0.0,0.0,0.0,0.0]","[0.8252314814814815,0.5335648148148148,0.42708333333333337,0.4849537037037037]","[12.498605688789738,12.653814602132895,13.457207207207208,12.274096385542169]","[95.65277777777777,96.29861111111111,96.75810185185185,96.69791666666666]","[74.26971351381775,74.08058842340901,70.41666666666667,74.98491552695091]","[1999.797476957326,2219.351976957326,1922.1754769573254,2057.3894769573258]"
700,5296,0.1657516254064284,347.4916954292246,2.3927738121823645,0.5818208246070053,1.1926512914436447,0.2619522722403047,0.6144181295895296,0.28800430750539796,2,0.7272727272727273,3,"[1389.9667817168984,1216.220934002286,1389.9667817168984]","[14.415584415584416,11.964285714285715,13.788377192982455]","[0.0,0.0,0.0]","[102.55956112424545,180.9592321530255,147.85109477591487]","[19.407407407407405,16.98148148148148,19.407407407407405]","[0.4629629629629629,1.3006756756756757,1.5628815628815629]","[17.233796296296298,24.833333333333336,17.188657407407405]","[15.973413379073754,15.12353228962818,14.290271132376395]","[63.358796296296305,57.83912037037037,63.403935185185176]","[69.14744933612857,71.5633423180593,70.27290448343079]","[1434.9034298477995,1648.8954298477993,1554.5304298477995]"
700,5296,5.483579634615105,295.1016804461004,0.5293563935233294,1.1421938596177423,1.9403977938763521,1.620225374842379,1.9544667271287164,0.8980971901323843,4,0.9318181818181818,8,"[590.2033608922007,590.2033608922007,442.6525206691506,295.1016804461004,590.2033608922007,295.1016804461004,295.1016804461004,590.2033608922007]","[13.068181818181817,10.263157894736842,11.03238866396761,7.045454545454546,13.392857142857142,2.5,3.125,13.317073170731707]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[31.92288796021883,46.667489258535134,30.101880535966774,12.761122490489921,43.15632045730578,12.282500736796543,14.487304374761177,48.21905753412845]","[0.25,0.25,0.1875,0.125,0.25,0.125,0.125,0.25]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.05324074074074074,0.0763888888888889,0.05092592592592593,0.019675925925925927,0.07407407407407407,0.03819444444444445,0.025462962962962965,0.07523148148148148]","[13.025210084033613,15.075757575757576,12.955465587044534,18.27458256029685,10.101867572156197,13.99046104928458,12.132352941176471,16.333333333333332]","[99.69675925925927,99.67361111111111,99.76157407407408,99.85532407407408,99.67592592592592,99.83680555555554,99.84953703703704,99.67476851851852]","[70.32967032967034,73.60681114551083,69.04761904761904,69.69696969696969,69.6943972835314,73.98648648648648,63.60294117647059,69.27083333333333]","[348.6735688910663,381.66706889106626,337.9760688910663,284.7905688910663,385.1305688910663,286.23906889106627,285.86656889106627,393.2185688910663]"
700,5296,4.718569961598896,406.0201986490678,4.007041713525601,1.4273865834035084,1.990679174537591,0.28141885995210875,1.588394026462365,0.9383489335002063,11,0.7272727272727273,3,"[2030.1009932453392,2436.121191894407,2233.111092569873]","[12.916666666666668,12.33108108108108,12.023809523809524]","[0.0,0.0,0.0]","[38.9144661029239,88.21339620856332,87.62651523229874]","[1.0011574074074074,1.1944444444444444,1.1944444444444446]","[0.0,0.0,0.0]","[0.13425925925925924,0.16782407407407407,0.23726851851851855]","[14.911616161616163,13.799010277883518,16.904761904761905]","[98.82175925925927,98.59722222222223,98.5625]","[70.25974025974025,68.54959544501048,64.76190476190476]","[2018.6580224941363,2165.3595224941364,2172.0960224941364]"
