"","x","y","dbh","crown","height","fruiting","genus","species"
"1",1.1,1.3,18.3,3.1,18.13924121851,0,"Shorea","teysmanniana"
"2",1.3,2.6,8.7,0.85,13,0,"Ilex","hypoglauca"
"3",0.3,3.6,7.2,0.85,13,0,"Sandoricum","beccanarium"
"4",3.4,3.2,10.5,2.2325,13,0,"Memecylon","sp. 1"
"5",2.7,7.1,36.4,5.3425,10.080060910052,0,"Campnosperma","coriaceum"
"6",1,7,10.3,1.925,13,0,"Tristaniopsis","sp. 2"
"7",1.9,10,10.2,2.225,15,0,"Callophyllum","cf. lanigerum / sp. 2"
"8",2.3,10,18.8,2.525,17.8201402942395,0,"Madhuca","mottleyana"
"9",4.2,9.6,37.5,3.85,9.63515430442063,0,"Tetramerista","glabra"
"10",4.8,10.3,11.6,1.65,9.31285626506717,0,"Gonystylus","bancanus"
"11",1.9,13.2,33.2,4.5,12.9351091399407,0,"Mesua","sp. 1"
"12",2,14.7,11,1.65,15,0,"Nephelium","lappaceum"
"13",2.1,15.8,8.8,1.65,9,0,"Tetractomia","tetrandra"
"14",3.6,18.1,13,2.175,15,0,"Ilex","hypoglauca"
"15",6.6,19.6,7.6,1.925,13,0,"Tetractomia","tetrandra"
"16",7.2,17.2,24.9,3.8,11.7768347915753,0,"Calophyllum","cf. hosei (cf. fragrans)"
"17",8.2,19.2,10.1,0.875,13,0,"Gymnacranthera","farquhariania"
"18",8.3,16.8,10,1.5,10,0,"Tetractomia","tetrandra"
"19",10,18.9,6.5,1.25,6,0,"Horsfieldia","crassifolia"
"20",11.1,16.6,7.7,1.325,8.5,0,"Isonandra","lanceolata"
"21",11,14.8,14.1,2.85,14,0,"Licania","splendens"
"22",14.5,15.1,8.3,1.075,15,0,"Nephelium","lappaceum"
"23",14.9,18.3,8.2,2.875,10,0,"Licania","splendens"
"24",16.6,15.4,10.9,1.925,12,0,"Maasia (Polyalthia)","hypoleuca"
"25",20,16.4,21.7,3.625,23.2680052906522,0,"Mesua","sp. 1"
"26",6.5,13.1,11.7,2.25,11,0,"Diospyros","areolata (bantamensis)"
"27",7.3,10.2,7.5,1.65,7,0,"Diospyros","areolata (bantamensis)"
"28",6.3,9.2,12.3,2.275,15,0,"Nephelium","lappaceum"
"29",7.1,8.4,15.1,3.525,13,0,"Nephelium","lappaceum"
"30",7.9,7.2,11.5,2.2,14,0,"Tetractomia","tetrandra"
"31",9,9.8,25.7,2.975,18.5,0,"Madhuca","mottleyana"
"32",9.6,10.2,12,2.45,10,0,"Garcinia","bancana"
"33",9.6,9.6,8,0.85,9,0,"Magnolia","bintulensis"
"34",11,11.7,11.1,1.5,15,0,"Gonystylus","bancanus"
"35",13,8,10.6,2.275,15,0,"Nephelium","lappaceum"
"36",11.5,6.5,12.9,2.725,15,0,"Elaeocarpus","mastersii"
"37",10.8,5.5,21.6,2.55,16.8864989212714,0,"Xylopia","fusca"
"38",11.7,1.2,18.8,3.075,12.7996921216367,0,"Mezzetia","parviflora (leptopoda)"
"39",15,4.8,12.4,1.425,14,0,"Horsfieldia","crassifolia"
"40",15,4,10.2,1.275,14,0,"Tetractomia","tetrandra"
"41",13,2.9,8.4,1.775,5.5,0,"Garcinia","sp. 4 parvifolia"
"42",18.2,5.1,11,2.775,13,0,"Madhuca","mottleyana"
"43",19.2,7.8,8.5,1.65,7,0,"Horsfieldia","crassifolia"
"44",19.6,2,12,2.35,8,0,"Ilex","hypoglauca"
