"","TreeID","x","y","DBH","crown","height","fruiting","species"
"1",59843,0,2,21.4,1.98268780998915,3.42275972273333,0,"Memecylon paniculatum"
"2",59854,0,7,20.2,1.90859222309227,3.28914753397876,0,"Mallotus miquelianus"
"3",59856,0,9,30,2.47788572745443,4.32120206482135,0,"Mallotus miquelianus"
"4",59894,0,10,17.6,1.74268786402329,2.99085012089141,0,"Litsea ferruginea"
"5",60073,0,24,182,8.14382367681959,14.9913300904882,0,"Microcos crassifolia"
"6",60088,0,29,48,3.37909547460502,5.97650604307774,0,"Palaquium beccarianum"
"7",60139,0,32,14.4,1.52651294259072,2.60412021420598,0,"Mallotus miquelianus"
"8",60155,0,35,18,1.76872819714215,3.03758848436408,0,"Mallotus miquelianus"
"9",60159,0,37,23.7,2.12087539832164,3.67254620070902,0,"Mallotus miquelianus"
"10",60316,0,40,33,2.63876336742777,4.61493435396522,0,"Mallotus miquelianus"
"11",60328,0,47,47,3.3324668067184,5.89031378906892,0,"Fagraea cuspidata"
"12",60329,0,48,25.4,2.22009469476505,3.85235386902356,0,"Aglaia oligophylla"
"13",60331,0,49,18,1.76872819714215,3.03758848436408,0,"Baccaurea tetrandra"
"14",60397,0,51,15.7,1.6161252536979,2.76415039766528,0,"Dillenia excelsa"
"15",60399,0,52,43,3.14246483654365,5.53967317744154,0,"Nothaphoebe umbelliflora"
"16",60412,0,55,51,3.51704206189776,6.23181182112112,0,"Xanthophyllum adenotus"
"17",60415,0,59,113,5.94583726729528,10.7898407579348,0,"Litsea caulocarpa"
"18",60562,0,60,40,2.99599331736387,5.27002048312909,0,"Mallotus lackeyi"
"19",60564,0,61,18.5,1.80100362433549,3.09556125160459,0,"Symplocos odoratissima"
"20",60630,0,70,26.2,2.26600100591915,3.93567112232112,0,"Leea aculeata"
"21",60636,0,71,110,5.8411776963357,10.5913632191093,0,"Polyalthia obliqua"
"22",60640,0,72,18.1,1.77520742397473,3.04922257094621,0,"Unidentified frutescens"
"23",60643,0,73,22.7,2.06138120415594,3.56491148207367,0,"Unidentified colorata"
